"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Создание заказа без ингредиентов","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","323","Создание уникального пользователя","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","484","Создание заказа без авторизации","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","238","Создание заказа с неверным хешем ингредиента","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","563","Создание уже зарегистрированного пользователя","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","238","Авторизация с неверными логином и паролем","tests","2026-07-19","passed","2026-07-19","TestLoginUser","test_login_user","",""
"","617","Авторизация под существующим пользователем","tests","2026-07-19","passed","2026-07-19","TestLoginUser","test_login_user","",""
"","483","Создание заказа с ингредиентами","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
"","248","Создание пользователя без обязательного поля","tests","2026-07-19","passed","2026-07-19","TestCreateUser","test_create_user","",""
"","4379","Создание заказа авторизованным пользователем","tests","2026-07-19","passed","2026-07-19","TestCreateOrder","test_create_order","",""
